Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms),Circuit Relays (Onion only)
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,2816,,4769,11173,11173,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; F85CDCD037B3C834D03F046205047C409557A5BC:SupportSeaWatch:85.214.111.133:DE
archive.org,clear,https://archive.org,25,346,,1201,1657,1657,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,14891,,16494,44797,44797,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; AA1A48643697DAF18AF63294989FE48CC5CC49C4:ParadiseTorRelay2:193.182.111.42:SE
theguardian.com,clear,https://theguardian.com,0,0,4,295,390,390,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,1,6330,9201,9201,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; B3D398B386FAF2CB78B447FBA46BF2648C3F48CD:punkpop:162.55.131.67:DE
brave.com,clear,https://brave.com,23,37,,302,343,343,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,837,,2086,3176,3176,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; AA1A48643697DAF18AF63294989FE48CC5CC49C4:ParadiseTorRelay2:193.182.111.42:SE
guardian.co.uk,clear,https://guardian.co.uk,0,0,2,303,391,391,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,2165,,4761,8610,8610,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; F4B74A7FB0D043A76DEB479CE9F1E9F61EB616F4:Runaz:95.216.16.167:FI
voanews.com,clear,https://voanews.com,23,22,,272,994,994,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,1293,,2645,3712,3712,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 727EDD6ED7E462532417034475C16E552F14E7E3:Bluejaybrd:94.130.70.185:DE
proton.me,clear,https://proton.me,17,40,1,232,410,410,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,,20515,21246,21246,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 20462CBA5DA4C2D963567D17D0B7249718114A68:scaletor:212.47.229.2:FR
amnesty.org,clear,https://amnesty.org,0,0,1,1928,1931,1931,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,5558,,7165,12627,12627,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 21EC567DB9FD0ECC942826E3F807CB73A9F528AB:freddiegibbs:64.65.63.12:NL
propublica.org,clear,https://propublica.org,27,20,,937,2162,2162,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,1539,,2627,3821,3821,
torproject.org,clear,https://torproject.org,24,44,,697,813,813,
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,1975,,3259,3259,3259,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; C60F0BE03DECFAEAEA0398362F985B39DAAF4A54:focalmohr:74.208.27.90:US
archive.is,clear,https://archive.is,31,1014,1,1695,2345,2345,
